series_id,n_train,blocked,forecastability_class,recommended_families,triage_model,smape_triage,smape_naive,mase_triage,mase_naive,smape_arima,mase_arima,smape_ets,mase_ets,oracle_model,triage_matches_oracle,route_type,triage_wins,error
M32752,133,False,medium,none,SeasonalNaive,33.73077392016264,33.73077392016264,0.6019016078484445,0.6019016078484445,61.14655975794015,1.0017959988231593,30.912330200566746,0.5984283727457657,ETS,False,naive_routed,False,
M35946,317,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,2.6881716114121557,5.515105171796956,1.025256679274066,2.0310190091186207,2.6881716114121557,1.025256679274066,2.676241770738323,1.0185284565192827,ETS,False,complex_routed,True,
M35981,317,False,high,arima|ets|linear_state_space,AutoARIMA,3.504283435326615,6.916938065452354,1.252753879953048,2.4177696474048567,3.504283435326615,1.252753879953048,1.8457487521571316,0.6677705478135908,ETS,False,complex_routed,True,
M36185,119,False,high,arima|ets|linear_state_space,AutoARIMA,9.521662801095221,20.98744484191036,1.0551983743233424,2.1834101443289984,9.521662801095221,1.0551983743233424,8.06068293727131,0.9012317539256205,ETS,False,complex_routed,True,
M36392,86,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,9.169009553300173,43.42614544344829,0.16937546471744763,1.052717599773186,9.169009553300173,0.16937546471744763,21.17572601475431,0.4244685722646089,AutoARIMA,True,complex_routed,True,
M36728,222,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,1.0287976040665225,7.562914666741411,0.15283367473091244,1.0705648029591692,1.0287976040665225,0.15283367473091244,0.9548185384167645,0.14198650127944273,ETS,False,complex_routed,True,
M37326,156,False,high,seasonal_naive|harmonic_regression|tbats,ETS,2.106458392860449,0.5207505627696983,1.075812063006312,0.26253033660441066,1.2388708952357612,0.6219408481776488,2.106458392860449,1.075812063006312,SeasonalNaive,False,complex_routed,False,
M3756,414,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,0.9576022575044224,1.7360496869350324,1.047935725181555,1.9093618179329988,0.9576022575044224,1.047935725181555,1.1359078296956961,1.2440613867543904,AutoARIMA,True,complex_routed,True,
M37726,240,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,2.9195000661381476,3.2330464477305316,0.5552726024896316,0.6228668758017745,2.9195000661381476,0.5552726024896316,2.6972360038957213,0.5139882707965939,ETS,False,complex_routed,True,
M37733,216,False,high,seasonal_naive|harmonic_regression|tbats,ETS,2.007444738789631,1.67363276074664,0.8002167992261348,0.6670538883510809,2.915348548239425,1.1683133318106325,2.007444738789631,0.8002167992261348,SeasonalNaive,False,complex_routed,False,
M37843,182,False,high,arima|ets|linear_state_space,AutoARIMA,3.1618245104261784,4.92346414176408,0.6904183896422604,1.0430192034171977,3.1618245104261784,0.6904183896422604,3.6811617471657216,0.807387911388161,AutoARIMA,True,complex_routed,True,
M38139,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,1.24870126641732,4.3516016933906405,0.470706848227038,1.5999999999999999,1.961179653563587,0.7352930614056791,1.24870126641732,0.470706848227038,ETS,True,complex_routed,True,
M3826,414,False,high,arima|ets|linear_state_space,AutoARIMA,2.686622282255948,5.136104384704032,0.9107828584625544,1.7093421201616477,2.686622282255948,0.9107828584625544,3.8854811662027076,1.3067392488612992,AutoARIMA,True,complex_routed,True,
M38279,288,False,high,arima|ets|linear_state_space,AutoARIMA,2.732942794235646,0.7866499685727514,0.7704057332002895,0.21899175380430164,2.732942794235646,0.7704057332002895,2.330419840890448,0.6554212856306875,SeasonalNaive,False,complex_routed,False,
M38837,168,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,2.8386959732583965,3.926225268982628,0.6376491344397789,0.8796019900497511,2.8386959732583965,0.6376491344397789,3.1708706846634254,0.7360503151898818,AutoARIMA,True,complex_routed,True,
M39403,131,False,high,seasonal_naive|harmonic_regression|tbats,ETS,7.673538505001515,42.08264594456608,1.1362043148813425,4.984997588695075,8.158378433157488,1.2403348190950825,7.673538505001515,1.1362043148813425,ETS,True,complex_routed,True,
M40076,154,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,10.740873785540488,10.237528155992678,0.4564631442664084,0.43985274107682576,10.740873785540488,0.4564631442664084,10.741563691033077,0.4564904608718664,SeasonalNaive,False,complex_routed,False,
M40123,132,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,2.4076051614074014,15.391227065576851,0.04994513439104058,0.3543649660752359,2.4076051614074014,0.04994513439104058,3.087816071690183,0.06453719774834346,AutoARIMA,True,complex_routed,True,
M40565,144,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,21.259685550430238,23.71031243373794,0.9408528488132337,1.0899130129920136,21.259685550430238,0.9408528488132337,18.65625754796701,0.8287887363909551,ETS,False,complex_routed,True,
M40627,145,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,2.372924291192199,5.8952951851375195,0.13487974790162488,0.34622863547726107,2.372924291192199,0.13487974790162488,6.994387919313208,0.4085506446873317,AutoARIMA,True,complex_routed,True,
M40640,145,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,13.751859552291393,13.760137785562065,1.1196616581265664,1.1189778375286672,13.751859552291393,1.1196616581265664,13.478997244000348,1.0992474024811663,ETS,False,complex_routed,True,
M40916,180,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,4.662421178264162,8.95803986315109,0.8790436725158174,1.6447195648096047,4.662421178264162,0.8790436725158174,4.662520093945295,0.8790617955792622,AutoARIMA,True,complex_routed,True,
M41045,541,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,3.2136853506513345,5.879317913260932,0.6391449171822833,1.1909801843249561,3.2136853506513345,0.6391449171822833,2.274311926134364,0.4491786192526987,ETS,False,complex_routed,True,
M41228,225,False,high,seasonal_naive|harmonic_regression|tbats,ETS,4.0747499788404475,6.189923366263169,0.8142199775930645,1.2994729189385676,12.95563853205722,2.4438828441056497,4.0747499788404475,0.8142199775930645,ETS,True,complex_routed,True,
M4131,150,False,medium,none,SeasonalNaive,24.519025321496716,24.519025321496716,0.9713024096892217,0.9713024096892217,23.428377887654253,1.010947630386601,25.43987025275375,1.0764116795618828,AutoARIMA,False,naive_routed,False,
M41444,266,False,high,seasonal_naive|harmonic_regression|tbats,ETS,4.3329412466592245,5.1975833978370884,1.0238450127515533,1.2009456264775416,4.620861922333501,1.065945296480254,4.3329412466592245,1.0238450127515533,ETS,True,complex_routed,True,
M41782,222,False,high,seasonal_naive|harmonic_regression|tbats,ETS,5.526564987977136,13.36817278872521,0.9658779312011587,2.222012296447514,4.847745524571745,0.8472901856061025,5.526564987977136,0.9658779312011587,AutoARIMA,False,complex_routed,True,
M422,444,False,high,arima|ets|linear_state_space,AutoARIMA,4.171223319107841,9.919310945826556,1.206003267489761,2.6671560980086264,4.171223319107841,1.206003267489761,4.897355147979566,1.3750662224941648,AutoARIMA,True,complex_routed,True,
